Tanggal & Waktu,ID Struk,Tipe Penjualan,Nama Pelanggan,Nama Produk,Kategori,Jumlah Produk,Harga Produk,Metode Pembayaran
30-06-2024 11:29:47,4QBY2PZK8MYVL,dinein,4QBY2PZK8MYVL,Sirloin Steak - French Fries - Blackpepper - Medium,Steak,1,"49,000",non-tunai
30-06-2024 11:29:47,4QBY2PZK8MYVL,dinein,4QBY2PZK8MYVL,Creamy cherry,Non Coffee,1,"20,000",non-tunai
30-06-2024 10:50:12,GD6YSZW4BL9JP,dinein,GD6YSZW4BL9JP,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 10:50:12,GD6YSZW4BL9JP,dinein,GD6YSZW4BL9JP,Coffee Latte - Ice,Coffee,1,"20,000",non-tunai
30-06-2024 10:34:58,RQ7Z2784YKMKR,dinein,RQ7Z2784YKMKR,Matcha Latte - Ice,Non Coffee,1,"18,000",tunai
30-06-2024 10:02:55,BMV8HGQBR8ZRW,onlineorder,BMV8HGQBR8ZRW,Rice Chicken Katsu Mentai,Curry,1,"28,000",non-tunai
30-06-2024 10:02:55,BMV8HGQBR8ZRW,onlineorder,BMV8HGQBR8ZRW,Kopi susu diagram - Creamy,Coffee,2,"20,000",non-tunai
30-06-2024 10:02:46,WP9KCMKLYPJYP,onlineorder,WP9KCMKLYPJYP,Kampung Fried Rice - Sedang,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 10:02:46,WP9KCMKLYPJYP,onlineorder,WP9KCMKLYPJYP,Matcha Latte - Ice,Non Coffee,1,"18,000",non-tunai
30-06-2024 10:02:38,M8GQHGK6NJBQM,onlineorder,M8GQHGK6NJBQM,Lamb Fried Rice - Pedas,Fried Rice & Noodle,1,"25,000",non-tunai
30-06-2024 09:53:36,QDLVSLGQVNDP8,dinein,lt2,Koyak coffee,Coffee,1,"18,000",non-tunai
29-06-2024 23:44:52,M8GQHGK6QW49P,onlineorder,M8GQHGK6QW49P,Tofu with Rujak sauce,Light Meal,1,"25,000",non-tunai
29-06-2024 23:44:52,M8GQHGK6QW49P,onlineorder,M8GQHGK6QW49P,Kopi susu diagram - Strong,Coffee,1,"20,000",non-tunai
29-06-2024 23:32:21,BMV8HGQB6D99D,onlineorder,BMV8HGQB6D99D,Fettuccine Carbonara,Spaghetti,1,"30,000",non-tunai
29-06-2024 23:32:13,L6K7CLZYRJ998,onlineorder,L6K7CLZYRJ998,Banana Cinnamon French Toast,Light Meal,1,"25,000",non-tunai
29-06-2024 23:32:13,L6K7CLZYRJ998,onlineorder,L6K7CLZYRJ998,Mushroom Salt and Pepper,Light Meal,1,"25,000",non-tunai
29-06-2024 23:32:13,L6K7CLZYRJ998,onlineorder,L6K7CLZYRJ998,Matcha Latte - Ice,Non Coffee,1,"18,000",non-tunai
29-06-2024 23:32:02,6GBJ3WJ4BYG9Y,onlineorder,6GBJ3WJ4BYG9Y,Kopi susu diagram - Creamy,Coffee,2,"20,000",non-tunai
29-06-2024 23:31:52,WP9KCMKL6BG7Q,onlineorder,WP9KCMKL6BG7Q,Blooming Sausage,Light Meal,1,"35,000",non-tunai
29-06-2024 23:31:52,WP9KCMKL6BG7Q,onlineorder,WP9KCMKL6BG7Q,Magic Coffee,Coffee,1,"20,000",non-tunai
29-06-2024 23:31:52,WP9KCMKL6BG7Q,onlineorder,WP9KCMKL6BG7Q,Matcha Latte - Ice,Non Coffee,1,"18,000",non-tunai
29-06-2024 23:07:50,7B4RFJNM7QRLZ,onlineorder,7B4RFJNM7QRLZ,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
29-06-2024 23:07:50,7B4RFJNM7QRLZ,onlineorder,7B4RFJNM7QRLZ,Matcha Latte - Ice,Non Coffee,1,"18,000",non-tunai
29-06-2024 22:50:35,KLQ6HDGRB4WWD,dinein,KLQ6HDGRB4WWD,Mie Statistika Bisnis,MEE TIME,2,"20,000",non-tunai
29-06-2024 22:50:35,KLQ6HDGRB4WWD,dinein,KLQ6HDGRB4WWD,Kampung Fried Rice - Sedang,Fried Rice & Noodle,2,"20,000",non-tunai
29-06-2024 22:50:35,KLQ6HDGRB4WWD,dinein,KLQ6HDGRB4WWD,Matcha Latte - Ice,Non Coffee,1,"18,000",non-tunai
29-06-2024 22:50:35,KLQ6HDGRB4WWD,dinein,KLQ6HDGRB4WWD,Jelly Spanish Latte,Coffee,1,"22,000",non-tunai
29-06-2024 22:50:35,KLQ6HDGRB4WWD,dinein,KLQ6HDGRB4WWD,Mineral Water,Non Coffee,1,"10,000",non-tunai
29-06-2024 22:09:07,VPGDCZDQRYGRM,onlineorder,VPGDCZDQRYGRM,Lamb Fried Rice - Pedas,Fried Rice & Noodle,1,"25,000",non-tunai
29-06-2024 22:09:07,VPGDCZDQRYGRM,onlineorder,VPGDCZDQRYGRM,Caramel Machiato - Ice,Coffee,1,"22,000",non-tunai
29-06-2024 22:09:07,VPGDCZDQRYGRM,onlineorder,VPGDCZDQRYGRM,Mushroom Salt and Pepper,Light Meal,1,"25,000",non-tunai
29-06-2024 22:08:20,9Y47FR6DWL88K,onlineorder,9Y47FR6DWL88K,Chicken Katsu Curry,Curry,1,"35,000",non-tunai
29-06-2024 22:08:20,9Y47FR6DWL88K,onlineorder,9Y47FR6DWL88K,Tofu Salt n Pepper,Light Meal,1,"20,000",non-tunai
29-06-2024 22:08:05,VPGDCZDQRYGGM,onlineorder,VPGDCZDQRYGGM,Ebi Furai Curry,Curry,1,"35,000",non-tunai
29-06-2024 22:08:05,VPGDCZDQRYGGM,onlineorder,VPGDCZDQRYGGM,Fettuccine Carbonara,Spaghetti,1,"30,000",non-tunai
29-06-2024 22:07:34,7B4RFJNM7Q9WD,onlineorder,7B4RFJNM7Q9WD,Omurice Chicken Curry,KATSU,1,"45,000",non-tunai
29-06-2024 22:06:53,M8GQHGK6QWJ7B,onlineorder,M8GQHGK6QWJ7B,Fish n chips,Light Meal,1,"30,000",non-tunai
29-06-2024 22:06:44,VPGDCZDQRYGKB,onlineorder,VPGDCZDQRYGKB,Chicken Black pepper,Teriyaki Rice,1,"27,500",non-tunai
29-06-2024 22:06:44,VPGDCZDQRYGKB,onlineorder,VPGDCZDQRYGKB,Toast Chicken Mentai,Light Meal,1,"25,000",non-tunai
